panel,size,draw,income,income_se,n_inst,hansen_p,hansen_df
Freedom House,12,94,-0.10810719663123791,0.11919333787106853,22,0.032527495370428455,11
Freedom House,12,95,-0.13754446040398527,0.12777135645759435,22,0.0278194408057016,11
Freedom House,12,96,0.027680186560635534,0.15223559869641876,22,0.08827275798533354,11
Freedom House,12,97,-0.04968085493073193,0.13047153644345033,22,0.05100669208724609,11
Freedom House,12,98,-0.21821670123894021,0.11994758320236347,22,0.017837342127145477,11
Freedom House,12,99,-0.05094786778422389,0.1321890403713319,22,0.09004950864470732,11
Freedom House,12,100,-0.14737700253831054,0.12258500876476036,22,0.009005909380119739,11
Freedom House,12,101,-0.15120383709723395,0.11645759319061011,22,0.05163022155508422,11
Freedom House,12,102,-0.08650007030705709,0.12440516406346841,22,0.005977210942867482,11
Freedom House,12,103,-0.10927196633557745,0.12561236775239334,22,0.04753485560933459,11
Freedom House,12,104,-0.23649812035442164,0.11715056938432751,22,8.905319811374095e-4,11
Freedom House,12,105,-0.17455273817886674,0.12473779171055659,22,0.014371707366735195,11
Freedom House,12,106,-0.17095128160440876,0.11808958229835427,22,0.027430045545607525,11
Freedom House,12,107,0.02064987776430982,0.1430798884674093,22,0.1392014523674398,11
Freedom House,12,108,-0.09708155137587493,0.128562225856562,22,0.003761750017599104,11
Freedom House,12,109,-0.03803994914732822,0.1408439223119268,22,0.03853522844179255,11
Freedom House,12,110,-0.07639444226834513,0.1261735961237741,22,0.006124098729027792,11
Freedom House,12,111,-0.22494516535345177,0.1174280290694942,22,0.011996593308896138,11
Freedom House,12,112,-0.16041314088705771,0.11913563710843161,22,0.03714434679361206,11
Freedom House,12,113,-0.10983060925339849,0.1112091231144112,22,0.040296916797113974,11
Freedom House,12,114,-0.11281693204249787,0.12012710707392724,22,0.10720328692604693,11
Freedom House,12,115,-0.22269362638585388,0.11468357294405153,22,0.008051294439895927,11
Freedom House,12,116,-0.2806858723853378,0.123806970800678,22,0.005708194577098986,11
Freedom House,12,117,-0.1260593403789958,0.12264782617031902,22,0.047042145221699146,11
Freedom House,12,118,-0.06568176657773073,0.12712768456929613,22,0.15881994825035256,11
Freedom House,12,119,0.025369118858408868,0.1446319529953329,22,0.060655343431781424,11
Freedom House,12,120,-0.094343093925362,0.12292386541972775,22,0.007924703001916167,11
Freedom House,12,121,-0.26165946931872197,0.1167079732439392,22,0.011311232581914356,11
Freedom House,12,122,-0.17796195921295332,0.11338915819580649,22,0.11876650607815058,11
Freedom House,12,123,-0.10870674174215456,0.11587770793271704,22,0.13559279439208632,11
Freedom House,12,124,-0.2855980140240999,0.13054125572927558,22,8.141513756591856e-4,11
Freedom House,12,125,-0.2609500646926728,0.12976882986653213,22,0.003866941849501258,11
Freedom House,12,126,-0.11712367554126146,0.11174066812497946,22,0.01006176290893038,11
Freedom House,12,127,-0.23052853391442962,0.1052663064397973,22,0.009281146545580243,11
Freedom House,12,128,-0.1944256112335081,0.12909424334252445,22,0.005509130059955678,11
Freedom House,12,129,-0.17748986261875022,0.11470786562880578,22,0.03299308214298464,11
Freedom House,12,130,-0.14512763848963584,0.11289930444493262,22,0.015039583270251901,11
